Name,Link,Actions,Gene Name,General Function,Kind,Molecular Weight,Organism,Pharmacological action,Specific Function,Uniprot ID,Uniprot Name,Ki (nM)_max,Ki (nM)_med,Ki (nM)_min,EC 50 (nM)_max,EC 50 (nM)_med,EC 50 (nM)_min,drug_name,drugbank_id,Curator comments,IC 50 (nM)_max,IC 50 (nM)_med,IC 50 (nM)_min,Kd (nM)_max,Kd (nM)_med,Kd (nM)_min,full_function
Gamma-aminobutyric acid receptor subunit rho-3,/polypeptides/A8MPY1,Potentiator,GABRR3,Gaba-a receptor activity,Protein,54271.1 Da,Humans,Yes,"GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel.",A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,NA,NA,NA,NA,NA,NA,Triazolam,DB00897,NA,NA,NA,NA,NA,NA,NA,"GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel."
Gamma-aminobutyric acid receptor subunit theta,/polypeptides/Q9UN88,Potentiator,GABRQ,Transmembrane signaling receptor activity,Protein,72020.875 Da,Humans,Yes,"GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel.",Q9UN88,Gamma-aminobutyric acid receptor subunit theta,NA,NA,NA,NA,NA,NA,Triazolam,DB00897,NA,NA,NA,NA,NA,NA,NA,"GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel."
Translocator protein,/polypeptides/P30536,Other,TSPO,Cholesterol binding,Protein,18827.81 Da,Humans,Unknown,Can bind protoporphyrin IX and may play a role in the transport of porphyrins and heme (By similarity). Promotes the transport of cholesterol across mitochondrial membranes and may play a role in l...,P30536,Translocator protein,NA,NA,NA,NA,NA,NA,Triazolam,DB00897,NA,NA,NA,NA,NA,NA,NA,"Can bind protoporphyrin IX and may play a role in the transport of porphyrins and heme (By similarity). Promotes the transport of cholesterol across mitochondrial membranes and may play a role in lipid metabolism (PubMed:24814875), but its precise physiological role is controversial. It is apparently not required for steroid hormone biosynthesis. Was initially identified as peripheral-type benzodiazepine receptor; can also bind isoquinoline carboxamides (PubMed:1847678)."
"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",/polypeptides/P45954,Inhibitor,ACADSB,"Oxidoreductase activity, acting on the ch-ch group of donors, with a flavin as acceptor",Protein,47485.035 Da,Humans,Unknown,"Has greatest activity toward short branched chain acyl-CoA derivative such as (s)-2-methylbutyryl-CoA, isobutyryl-CoA, and 2-methylhexanoyl-CoA as well as toward short straight chain acyl-CoAs such...",P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",NA,NA,NA,NA,NA,NA,Valproic Acid,DB00313,NA,NA,NA,NA,NA,NA,NA,"Has greatest activity toward short branched chain acyl-CoA derivative such as (s)-2-methylbutyryl-CoA, isobutyryl-CoA, and 2-methylhexanoyl-CoA as well as toward short straight chain acyl-CoAs such as butyryl-CoA and hexanoyl-CoA. Can use valproyl-CoA as substrate and may play a role in controlling the metabolic flux of valproic acid in the development of toxicity of this agent."
Histone deacetylase 9,/polypeptides/Q9UKV0,Inhibitor,HDAC9,Transcription factor binding,Protein,111296.29 Da,Humans,Yes,"Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an impo...",Q9UKV0,Histone deacetylase 9,NA,NA,NA,NA,NA,NA,Valproic Acid,DB00313,NA,2000000,2000000,2000000,NA,NA,NA,"Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. Represses MEF2-dependent transcription.Isoform 3 lacks active site residues and therefore is catalytically inactive. Represses MEF2-dependent transcription by recruiting HDAC1 and/or HDAC3. Seems to inhibit skeletal myogenesis and to be involved in heart development. Protects neurons from apoptosis, both by inhibiting JUN phosphorylation by MAPK10 and by repressing JUN transcription via HDAC1 recruitment to JUN promoter."
"2-oxoglutarate dehydrogenase, mitochondrial",/polypeptides/Q02218,Inhibitor,OGDH,Thiamine pyrophosphate binding,Protein,115934.37 Da,Humans,Unknown,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). It contains multiple copies of three enzymatic components: 2-oxoglutarate dehy...,Q02218,"2-oxoglutarate dehydrogenase, mitochondrial",NA,NA,NA,NA,NA,NA,Valproic Acid,DB00313,NA,NA,NA,NA,NA,NA,NA,"The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). It contains multiple copies of three enzymatic components: 2-oxoglutarate dehydrogenase (E1), dihydrolipoamide succinyltransferase (E2) and lipoamide dehydrogenase (E3)."
"Succinate-semialdehyde dehydrogenase, mitochondrial",/polypeptides/P51649,Inhibitor,ALDH5A1,Succinate-semialdehyde dehydrogenase [nad(p)+] activity,Protein,57214.23 Da,Humans,Unknown,Catalyzes one step in the degradation of the inhibitory neurotransmitter gamma-aminobutyric acid (GABA).,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",NA,NA,NA,NA,NA,NA,Valproic Acid,DB00313,NA,NA,NA,NA,NA,NA,NA,Catalyzes one step in the degradation of the inhibitory neurotransmitter gamma-aminobutyric acid (GABA).
Histone deacetylase 2,/polypeptides/Q92769,Inhibitor,HDAC2,Transcription factor binding,Protein,55363.855 Da,Humans,Unknown,"Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an impo...",Q92769,Histone deacetylase 2,NA,NA,NA,NA,NA,NA,Valproic Acid,DB00313,NA,62000,62000,62000,NA,NA,NA,"Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. Histone deacetylases act via the formation of large multiprotein complexes. Forms transcriptional repressor complexes by associating with MAD, SIN3, YY1 and N-COR. Interacts in the late S-phase of DNA-replication with DNMT1 in the other transcriptional repressor complex composed of DNMT1, DMAP1, PCNA, CAF1. Deacetylates TSHZ3 and regulates its transcriptional repressor activity. Component of a RCOR/GFI/KDM1A/HDAC complex that suppresses, via histone deacetylase (HDAC) recruitment, a number of genes implicated in multilineage blood cell development. May be involved in the transcriptional repression of circadian target genes, such as PER1, mediated by CRY1 through histone deacetylation. Involved in MTA1-mediated transcriptional corepression of TFF1 and CDKN1A."
Peroxisome proliferator-activated receptor alpha,/polypeptides/Q07869,NA,PPARA,Zinc ion binding,Protein,52224.595 Da,Humans,Unknown,Ligand-activated transcription factor. Key regulator of lipid metabolism. Activated by the endogenous ligand 1-palmitoyl-2-oleoyl-sn-glycerol-3-phosphocholine (16:0/18:1-GPC). Activated by oleyleth...,Q07869,Peroxisome proliferator-activated receptor alpha,NA,NA,NA,NA,NA,NA,Valproic Acid,DB00313,NA,NA,NA,NA,NA,NA,NA,"Ligand-activated transcription factor. Key regulator of lipid metabolism. Activated by the endogenous ligand 1-palmitoyl-2-oleoyl-sn-glycerol-3-phosphocholine (16:0/18:1-GPC). Activated by oleylethanolamide, a naturally occurring lipid that regulates satiety. Receptor for peroxisome proliferators such as hypolipidemic drugs and fatty acids. Regulates the peroxisomal beta-oxidation pathway of fatty acids. Functions as transcription activator for the ACOX1 and P450 genes. Transactivation activity requires heterodimerization with RXRA and is antagonized by NR2C2. May be required for the propagation of clock information to metabolic pathways regulated by PER2."
Peroxisome proliferator-activated receptor delta,/polypeptides/Q03181,NA,PPARD,Zinc ion binding,Protein,49902.99 Da,Humans,Unknown,"Ligand-activated transcription factor. Receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Has a preference for poly-unsaturated fatty acids, such as gamma-lin...",Q03181,Peroxisome proliferator-activated receptor delta,NA,NA,NA,NA,NA,NA,Valproic Acid,DB00313,NA,NA,NA,NA,NA,NA,NA,"Ligand-activated transcription factor. Receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Has a preference for poly-unsaturated fatty acids, such as gamma-linoleic acid and eicosapentanoic acid. Once activated by a ligand, the receptor binds to promoter elements of target genes. Regulates the peroxisomal beta-oxidation pathway of fatty acids. Functions as transcription activator for the acyl-CoA oxidase gene. Decreases expression of NPC1L1 once activated by a ligand."
Peroxisome proliferator-activated receptor gamma,/polypeptides/P37231,NA,PPARG,Zinc ion binding,Protein,57619.58 Da,Humans,Unknown,"Nuclear receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the nuclear receptor binds to DNA specific PPAR response elements (PPRE...",P37231,Peroxisome proliferator-activated receptor gamma,NA,NA,NA,NA,NA,NA,Valproic Acid,DB00313,NA,NA,NA,NA,NA,NA,NA,"Nuclear receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the nuclear receptor binds to DNA specific PPAR response elements (PPRE) and modulates the transcription of its target genes, such as acyl-CoA oxidase. It therefore controls the peroxisomal beta-oxidation pathway of fatty acids. Key regulator of adipocyte differentiation and glucose homeostasis. ARF6 acts as a key regulator of the tissue-specific adipocyte P2 (aP2) enhancer. Acts as a critical regulator of gut homeostasis by suppressing NF-kappa-B-mediated proinflammatory responses. Plays a role in the regulation of cardiovascular circadian rhythms by regulating the transcription of ARNTL/BMAL1 in the blood vessels (By similarity)."
Neuronal acetylcholine receptor subunit alpha-4,/polypeptides/P43681,Partial agonist,CHRNA4,Ligand-gated ion channel activity,Protein,69956.47 Da,Humans,Yes,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane permeabl...",P43681,Neuronal acetylcholine receptor subunit alpha-4,NA,NA,NA,NA,NA,NA,Varenicline,DB01273,NA,NA,NA,NA,NA,NA,NA,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane permeable to sodium ions."
Neuronal acetylcholine receptor subunit alpha-7,/polypeptides/P36544,Agonist,CHRNA7,Toxic substance binding,Protein,56448.925 Da,Humans,Unknown,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane. The cha...",P36544,Neuronal acetylcholine receptor subunit alpha-7,NA,NA,NA,NA,NA,NA,Varenicline,DB01273,NA,NA,NA,NA,NA,NA,NA,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane. The channel is blocked by alpha-bungarotoxin."
Neuronal acetylcholine receptor subunit alpha-3,/polypeptides/P32297,Partial agonist,CHRNA3,Ligand-gated ion channel activity,Protein,57479.54 Da,Humans,Unknown,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane.",P32297,Neuronal acetylcholine receptor subunit alpha-3,NA,NA,NA,NA,NA,NA,Varenicline,DB01273,NA,NA,NA,NA,NA,NA,NA,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane."
Neuronal acetylcholine receptor subunit alpha-6,/polypeptides/Q15825,Partial agonist,CHRNA6,Acetylcholine-activated cation-selective channel activity,Protein,56897.745 Da,Humans,Unknown,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane.",Q15825,Neuronal acetylcholine receptor subunit alpha-6,NA,NA,NA,NA,NA,NA,Varenicline,DB01273,NA,NA,NA,NA,NA,NA,NA,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane."
Neuronal acetylcholine receptor subunit beta-2,/polypeptides/P17787,Partial agonist,CHRNB2,Ligand-gated ion channel activity,Protein,57018.575 Da,Humans,Unknown,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane permeabl...",P17787,Neuronal acetylcholine receptor subunit beta-2,NA,NA,NA,NA,NA,NA,Varenicline,DB01273,NA,NA,NA,NA,NA,NA,NA,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane permeable to sodiun ions."
Sodium-dependent serotonin transporter,/polypeptides/P31645,Inhibitor,SLC6A4,Serotonin:sodium symporter activity,Protein,70324.165 Da,Humans,Yes,Serotonin transporter whose primary function in the central nervous system involves the regulation of serotonergic signaling via transport of serotonin molecules from the synaptic cleft back into t...,P31645,Sodium-dependent serotonin transporter,145,75.9,7.5,NA,NA,NA,Venlafaxine,DB00285,K(i)=82nM,35,28.5,7,8.9,8.9,8.9,Serotonin transporter whose primary function in the central nervous system involves the regulation of serotonergic signaling via transport of serotonin molecules from the synaptic cleft back into the pre-synaptic terminal for re-utilization. Plays a key role in mediating regulation of the availability of serotonin to other receptors of serotonergic systems. Terminates the action of serotonin and recycles it in a sodium-dependent manner.
Sodium-dependent noradrenaline transporter,/polypeptides/P23975,Inhibitor,SLC6A2,Norepinephrine:sodium symporter activity,Protein,69331.42 Da,Humans,Yes,Amine transporter. Terminates the action of noradrenaline by its high affinity sodium-dependent reuptake into presynaptic terminals.,P23975,Sodium-dependent noradrenaline transporter,6310,1920,385,NA,NA,NA,Venlafaxine,DB00285,K(i)=2480nM,754,535,61,1060,1060,1060,Amine transporter. Terminates the action of noradrenaline by its high affinity sodium-dependent reuptake into presynaptic terminals.
